frame.number|frame.interface_name|frame.time_epoch|_ws.col.ipsrc|_ws.col.ipdst|ip.src_host|ip.dst_host|tcp.stream|tcp.srcport|tcp.dstport|tcp.window_size|tcp.flags|tcp.option_kind|tcp.seq|tcp.len|tcp.ack|tcp.options.timestamp.tsval|tcp.options.timestamp.tsecr|mptcp.expected_token|mptcp.stream|tcp.options.mptcp.sendkey|tcp.options.mptcp.recvkey|tcp.options.mptcp.recvtok|tcp.options.mptcp.datafin.flag|tcp.options.mptcp.version|tcp.options.mptcp.subtype|tcp.options.mptcp.rawdataseqno|tcp.options.mptcp.rawdataack|tcp.options.mptcp.subflowseqno|tcp.options.mptcp.datalvllen|tcp.options.mptcp.addrid|mptcp.rawdsn64|mptcp.ack|mptcp.dsn|mptcp.related_mapping|mptcp.reinjection_of|mptcp.reinjected_in
12|any|1529916721.499648857|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|42|113|2|908364063|74||0||||0||2|1622289714|380406936|42|113||10857181338791980338|2|42|12||
13|any|1529916721.524222984|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|155|908364131|60||0||||0||2||1622289827||||296251885087394968|155|2|||
14|any|1529916721.542337030|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|2|1|155|908364153|60||0||||0||2|380406936|1622289827|2|1||296251885087394968|155|2|14||
15|any|1529916721.653301690|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|155|0|3|908364216|63||0||||0||2||380406937||||10857181338791980451|3|155|||
16|any|1529916721.791965006|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364218|2684354561|3188734930|1|2708191410426849018||||0|0||||||6246007917516963881||0|||
17|any|1529916721.810404874|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28560|0x00000012|2,4,8,1,3,30|0|0|1|908364421|2518976955|1015310287|1|14803550490012999960||||0|0||||||13300256311687443144||0|||
18|any|1529916721.891536655|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363864|2684354561||0|||2846245513|||1|||||2|10857181338791980296||0|||
19|any|1529916721.941241314|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1|908364520|2518976601||0||||||1|||||3|296251885087394966||0|||
20|any|1529916722.012505451|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908364557|133|3188734930|1|2708191410426849018|14803550490012999960||0|0|0,2||3485921993||||6246007917516963882|1|1|||
21|any|1529916722.012506481|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908364558|133||1||||0||3,2||3485921993|||3|6246007917516963882|1|1|||
22|any|1529916722.046327616|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30,30|1|0|1|908364649|90||1||||0||3,2||3017818154|||3|13300256311687443145|1|1|||
23|any|1529916722.046329738|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1|908364600|133||1||||0||2|3017818154|3485921993|1|37||6246007917516963882|1|1|23||
24|any|1529916722.073855463|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30|1|0|38|908364681|70||1||||0||2||3017818191||||13300256311687443145|38|1|||
25|any|1529916722.096707230|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1|908364633|110||0||||||1||||||10857181338791980297||1|||
26|any|1529916722.189096368|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364748|2684354561||1|||1015310287|||1|||||2|6246007917516963881||0|||
27|any|1529916722.199360399|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|28560|0x00000012|2,4,8,1,3,30|0|0|1|908364813|2518977485||1||||||1|||||3|13300256311687443144||0|||
28|any|1529916722.313602519|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|58880|0x00000010|1,1,8,30|1|0|1|908364877|64||1||||||1||||||6246007917516963882||1|||
29|any|1529916722.326644217|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|57344|0x00000010|1,1,8,30|1|0|1|908364937|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
30|any|1529916722.420410406|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|58|0x00000010|30|1|0|1||||2||||0||2||380406937|||||||||
31|any|1529916722.420439915|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364748|2684354561||1|||1015310287|||1|||||3|6246007917516963881||0|||
32|any|1529916722.421807885|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363854|2684354561||0|||2846245513|||1|||||3|10857181338791980296||0|||
33|any|1529916722.421829383|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364748|2684354561||1|||1015310287|||1|||||3|6246007917516963881||0|||
34|any|1529916722.440472185|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|4|5201|59555|0|0x00000004||1|0|0|||||||||||||||||||||
35|any|1529916722.440506014|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365044|2518977485||1||||||1|||||3|13300256311687443144||0|||
36|any|1529916722.441880163|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|7|5201|50007|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365045|2518977485||1||||||1|||||2|13300256311687443144||0|||
37|any|1529916722.504971954|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|88064|0x00000010|1,1,8,30|1|0|1|908365087|43||1||||||1||||||6246007917516963882||1|||
38|any|1529916722.525015690|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|86016|0x00000010|1,1,8,30|1|0|1|908365129|42||1||||0||2||3017818191||||13300256311687443145|38|1|||
39|any|1529916722.916176557|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365529|2518976601||0||||||1|||||3|296251885087394966||0|||
40|any|1529916723.043127319|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1|908365607|110||0||||||1||||||10857181338791980297||1|||
41|any|1529916723.296907345|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908365785|2684354561||1|||1015310287|||1|||||3|6246007917516963881||0|||
42|any|1529916723.316955104|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|7|5201|50007|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365920|2518977485||1||||||1|||||2|13300256311687443144||0|||
43|any|1529916723.388285685|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|117248|0x00000010|1,1,8,30|1|0|1|908365972|52||1||||||1||||||6246007917516963882||1|||
44|any|1529916723.408482421|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|7|5201|50007|114688|0x00000010|1,1,8,30|1|0|1|908366012|40||1||||0||2||3017818191||||13300256311687443145|38|1|||
45|any|1529916723.552480725|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|3|1|155|908364744|61||0||||0||2|380406937|1622289827|3|1||296251885087394969|155|3|45||
46|any|1529916723.562646975|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1|908366174|1538||0||||0||2||1622289827||||296251885087394967|155|1|||
47|any|1529916723.614740191|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|28560|0x00000012|2,4,8,1,3,30|0|0|1|908366215|2518976591||0||||||1|||||2|296251885087394966||0|||
48|any|1529916723.639499287|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1|908366245|629||0||||0||2||1622289827||||296251885087394967|155|1|||
49|any|1529916723.671435947|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|115|0x00000010|30|1|0|1||||2||||0||2||380406938|||||||||
50|any|1529916723.673803022|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|58880|0x00000010|1,1,8,30|155|0|4|908366233|1482||0||||0||2||380406938||||10857181338791980451|4|155|||
51|any|1529916723.691456439|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|4|5201|59555|0|0x00000004||1|0|0|||||||||||||||||||||
52|any|1529916723.740591346|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|88064|0x00000010|1,1,8,30|1|0|1|908366324|109||0||||||1||||||10857181338791980297||1|||
53|any|1529916723.806096135|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|57344|0x00000018|1,1,8,30,1,1|4|1|155|908366411|61||0||||0||2|380406938|1622289827|4|1||296251885087394970|155|4|53||
54|any|1529916723.826122315|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|86016|0x00000010|1,1,8,30|1|0|1|908366427|101||0||||0||2||1622289827||||296251885087394967|155|1|||
55|any|1529916723.929284155|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|88064|0x00000010|1,1,8,30|155|0|5|908366487|69||0||||0||2||380406939||||10857181338791980451|5|155|||
56|any|1529916723.962384000|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|2857|2856|1|908366518|63||1||||0||2||3485921993||||6246007917516966775|1|2894|84||
57|any|1529916723.974013646|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|120320|0x00000010|1,1,8,1,1,5,30|1|0|1|908366586|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
58|any|1529916723.974016568|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|5713|1428|1|908366520|63||1||||0||2||3485921993||||6246007917516969631|1|5750|84||
59|any|1529916723.979801398|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|908366534|63||1||||0||2|3017825331|3485921993|7141|7140||6246007917516971059|1|7178|59||
60|any|1529916723.984385067|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|122880|0x00000010|1,1,8,1,1,5,30|1|0|1|908366598|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
61|any|1529916723.991419513|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|129024|0x00000010|1,1,8,1,1,5,30|1|0|1|908366603|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
62|any|1529916723.991424980|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|9997|2856|1|908366536|63||1||||0||2||3485921993||||6246007917516973915|1|10034|59||
63|any|1529916724.003050754|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|134656|0x00000010|1,1,8,1,1,5,30|1|0|1|908366615|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
64|any|1529916724.003054376|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|12853|1428|1|908366538|63||1||||0||2||3485921993||||6246007917516976771|1|12890|59||
65|any|1529916724.009879550|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|38|2856|1|908366551|67||1||||0||2|3017832471|3485921993|38|7140||6246007917516978199|1|14318|65||
66|any|1529916724.012139224|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|2857|2856|1|908366586|40||1||||0||2||3485921993||||6246007917516995335|1|31454|366||
67|any|1529916724.014957510|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|137216|0x00000010|1,1,8,1,1,5,30|1|0|1|908366627|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
68|any|1529916724.021754382|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|143360|0x00000010|1,1,8,30|1|0|2894|908366633|82||1||||0||2||3017818191||||13300256311687443145|38|1|||
69|any|1529916724.021788735|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|2894|2856|1|908366556|67||1||||0||2||3485921993||||6246007917516981055|1|17174|65||
70|any|1529916724.024362758|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|5713|1428|1|908366588|40||1||||0||2||3485921993||||6246007917516998191|1|34310|366||
71|any|1529916724.033824631|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|154624|0x00000010|1,1,8,30|1|0|5750|908366645|89||1||||0||2||3017818191||||13300256311687443145|38|1|||
72|any|1529916724.033826712|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|148992|0x00000010|1,1,8,1,1,5,30|1|0|1|908366636|42||1||||0||2||3017818191||||13300256311687443145|38|1|||
73|any|1529916724.036090076|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|5750|1428|1|908366558|67||1||||0||2||3485921993||||6246007917516983911|1|20030|65||
74|any|1529916724.041691276|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|7178|2856|1|908366570|67||1||||0||2|3017839611|3485921993|7178|7140||6246007917516985339|1|21458|74||
75|any|1529916724.043921100|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|9997|2856|1|908366606|40||1||||0||2||3485921993||||6246007917517002475|1|38594|109||
76|any|1529916724.046724125|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|160256|0x00000010|1,1,8,30|1|0|7178|908366660|102||1||||0||2||3017818191||||13300256311687443145|38|1|||
77|any|1529916724.053522669|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|166400|0x00000010|1,1,8,30|1|0|10034|908366665|95||1||||0||2||3017818191||||13300256311687443145|38|1|||
78|any|1529916724.053525146|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|10034|2856|1|908366572|67||1||||0||2||3485921993||||6246007917516988195|1|24314|74||
79|any|1529916724.056116718|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|12853|1428|1|908366608|40||1||||0||2||3485921993||||6246007917517005331|1|41450|109||
80|any|1529916724.063645517|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|177664|0x00000010|1,1,8,30|1|0|12890|908366677|105||1||||0||2||3017818191||||13300256311687443145|38|1|||
81|any|1529916724.065919260|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|12890|1428|1|908366574|67||1||||0||2||3485921993||||6246007917516991051|1|27170|74||
82|any|1529916724.076084799|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|183296|0x00000010|1,1,8,30|1|0|14318|908366689|115||1||||0||2||3017818191||||13300256311687443145|38|1|||
83|any|1529916724.076137327|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|180736|0x00000010|1,1,8,1,1,5,30|1|0|1|908366680|42||1||||0||2||3017818191||||13300256311687443145|38|1|||
84|any|1529916724.124199192|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|1428|1|908366685|71||1||||0||2|3017818191|3485921993|1|7140||6246007917516963919|1|38|84||
85|any|1529916724.134221242|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|186368|0x00000010|1,1,8,1,1,5,30|1|0|1429|908366748|63||1||||0||2||3017818191||||13300256311687443145|38|1|||
86|any|1529916724.139772070|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|1429|1428|1|908366700|89||1||||0||2||3485921993||||6246007917516965347|1|1466|84||
87|any|1529916724.150960767|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|189440|0x00000010|1,1,8,30|1|0|14281|908366763|63||1||||0||2||3017846751||||13300256311687443145|28598|1|||
88|any|1529916724.161560537|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017821047||||13300256311687443145|2894|1|||
89|any|1529916724.161812131|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017823903||||13300256311687443145|5750|1|||
90|any|1529916724.161813484|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017831043||||13300256311687443145|12890|1|||
91|any|1529916724.161814169|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017846751||||13300256311687443145|28598|1|||
92|any|1529916724.178505696|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|14318|2856|1|908366738|94||1||||0||2|3017861031|3485921993|14318|5712||6246007917517006759|1|42878|92||
93|any|1529916724.185051321|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|17174|2856|1|908366740|94||1||||0||2||3485921993||||6246007917517009615|1|45734|92||
94|any|1529916724.189263130|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|195072|0x00000010|1,1,8,30|1|0|17174|908366802|64||1||||0||2||3017846751||||13300256311687443145|28598|1|||
95|any|1529916724.195557354|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|200704|0x00000010|1,1,8,30|1|0|20030|908366809|69||1||||0||2||3017846751||||13300256311687443145|28598|1|||
96|any|1529916724.198698879|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|20030|2856|1|908366759|98||1||||0||2|3017866743|3485921993|20030|5712||6246007917517012471|1|48590|96||
97|any|1529916724.208813443|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|206336|0x00000010|1,1,8,30|1|0|22886|908366822|63||1||||0||2||3017846751||||13300256311687443145|28598|1|||
98|any|1529916724.281195969|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|22886|2856|1|908366761|98||1||||0||2||3485921993||||6246007917517015327|1|51446|96||
99|any|1529916724.291559253|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|211968|0x00000010|1,1,8,30|1|0|25742|908366905|144||1||||0||2||3017846751||||13300256311687443145|28598|1|||
100|any|1529916724.296076215|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|25742|2856|1|908366855|182||1||||0||2|3017872455|3485921993|25742|2856||6246007917517018183|1|54302|100||
101|any|1529916724.308331689|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|217600|0x00000010|1,1,8,30|1|0|28598|908366920|65||1||||0||2||3017846751||||13300256311687443145|28598|1|||
102|any|1529916724.308334354|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|28598|2856|1|908366869|193||1||||0||2|3017875311|3485921993|28598|5712||6246007917517021039|1|57158|102||
103|any|1529916724.316061315|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|31454|2856|1|908366871|193||1||||0||2||3485921993||||6246007917517023895|1|60014|102||
104|any|1529916724.319524142|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|223744|0x00000010|1,1,8,30|1|0|31454|908366932|63||1||||0||2||3017846751||||13300256311687443145|28598|1|||
105|any|1529916724.328174013|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|229376|0x00000010|1,1,8,30|1|0|34310|908366940|69||1||||0||2||3017846751||||13300256311687443145|28598|1|||
106|any|1529916724.328173226|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|34310|2856|1|908366885|197||1||||0||2|3017881023|3485921993|34310|5712||6246007917517026751|1|62870|106||
107|any|1529916724.337877258|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|1429|1428|1|908366915|139||1||||0||2||3485921993||||6246007917516993907|1|30026|366||
108|any|1529916724.340138285|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|37166|2856|1|908366887|197||1||||0||2||3485921993||||6246007917517029607|1|65726|106||
109|any|1529916724.347231017|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|908366925|139||1||||0||2|3017853891|3485921993|7141|7140||6246007917516999619|1|35738|109||
110|any|1529916724.350159202|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|243712|0x00000010|1,1,8,30|1|0|40022|908366964|77||1||||0||2||3017846751||||13300256311687443145|28598|1|||
111|any|1529916724.352977668|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|40022|2856|1|908366900|201||1||||0||2|3017886735|3485921993|40022|2856||6246007917517032463|1|68582|111||
112|any|1529916724.360063022|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|238080|0x00000010|1,1,8,1,1,5,30|1|0|1|908366961|42||1||||0||2||3017846751||||13300256311687443145|28598|1|||
113|any|1529916724.362998718|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|254976|0x00000010|1,1,8,30|1|0|42878|908366976|76||1||||0||2||3017846751||||13300256311687443145|28598|1|||
114|any|1529916724.367679055|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|249344|0x00000010|1,1,8,1,1,5,30|1|0|1|908366971|42||1||||0||2||3017846751||||13300256311687443145|28598|1|||
115|any|1529916724.419046237|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|14281|1428|1|908366974|95||1||||0||2|3017889591|3485921993|14281|1428||6246007917517035319|1|71438|115||
