packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|tcptsval|tcptsecr|expected_token|mptcpstream|sendkey|recvkey|recvtok|datafin|mptcpversion|subtype|dss_dsn|dss_rawack|dss_ssn|dss_length|addrid|dsnraw64|dack|dsn|related_mappings|reinjection_of|reinjected_in
13|any|5.818497738|1529916721.575944511|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|155|908364131|60||0||||0||2||1622289827||||296251885087394968|155|2|||
14|any|5.835115527|1529916721.592562300|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|2|1|155|908364153|60||0||||0||2|380406936|1622289827|2|1||296251885087394968|155|2|14||
15|any|5.845824830|1529916721.603271603|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|155|0|3|908364216|63||0||||0||2||380406937||||10857181338791980451|3|155|||
16|any|5.847104915|1529916721.604551688|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364218|2684354561|3188734930|1|2708191410426849018||||0|0||||||6246007917516963881||0|||
17|any|6.044417318|1529916721.801864091|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363864|2684354561||0|||2846245513|||1|||||2|10857181338791980296||0|||
18|any|6.151437972|1529916721.908884745|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28560|0x00000012|2,4,8,1,3,30|0|0|1|908364421|2518976955|1015310287|1|14803550490012999960||||0|0||||||13300256311687443144||0|||
19|any|6.189422456|1529916721.946869229|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908364557|133|3188734930|1|2708191410426849018|14803550490012999960||0|0|0,2||3485921993||||6246007917516963882|1|1|||
20|any|6.189672868|1529916721.947119641|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908364558|133||1||||0||3,2||3485921993|||3|6246007917516963882|1|1|||
21|any|6.231201600|1529916721.988648373|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1|908364600|133||1||||0||2|3017818154|3485921993|1|37||6246007917516963882|1|1|21||
22|any|6.235584666|1529916721.993031439|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1|908364520|2518976601||0||||||1|||||3|296251885087394966||0|||
23|any|6.288878495|1529916722.046325268|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1|908364633|110||0||||||1||||||10857181338791980297||1|||
24|any|6.339262225|1529916722.096708998|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30,30|1|0|1|908364649|90||1||||0||3,2||3017818154|||3|13300256311687443145|1|1|||
25|any|6.366549309|1529916722.123996082|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30|1|0|38|908364681|70||1||||0||2||3017818191||||13300256311687443145|38|1|||
26|any|6.376723380|1529916722.134170153|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364748|2684354561||1|||1015310287|||1|||||2|6246007917516963881||0|||
27|any|6.496020920|1529916722.253467693|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|28560|0x00000012|2,4,8,1,3,30|0|0|1|908364813|2518977485||1||||||1|||||3|13300256311687443144||0|||
28|any|6.506073438|1529916722.263520211|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|58880|0x00000010|1,1,8,30|1|0|1|908364877|64||1||||||1||||||6246007917516963882||1|||
29|any|6.612738406|1529916722.370185179|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363874|2684354561||0|||2846245513|||1|||||3|10857181338791980296||0|||
30|any|6.612740544|1529916722.370187317|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29696|0x00000010|30|0|0|1||||0||||0||2||380406936|||||2||||
31|any|6.612741485|1529916722.370188258|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29696|0x00000010|30|0|0|1||||0||||0||2||380406937|||||3||||
32|any|6.612742283|1529916722.370189056|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364748|2684354561||1|||1015310287|||1|||||3|6246007917516963881||0|||
33|any|6.613851976|1529916722.371298749|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363854|2684354561||0|||2846245513|||1|||||3|10857181338791980296||0|||
34|any|6.613853956|1529916722.371300729|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908364748|2684354561||1|||1015310287|||1|||||3|6246007917516963881||0|||
35|any|6.619274576|1529916722.376721349|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|57344|0x00000010|1,1,8,30|1|0|1|908364937|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
36|any|6.705642894|1529916722.463089667|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|4|5201|59555|0|0x00000004||1|0|0|||||||||||||||||||||
37|any|6.705799570|1529916722.463246343|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365044|2518977485||1||||||1|||||3|13300256311687443144||0|||
38|any|6.726035656|1529916722.483482429|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|88064|0x00000010|1,1,8,30|1|0|1|908365087|43||1||||||1||||||6246007917516963882||1|||
39|any|6.787641048|1529916722.545087821|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|86016|0x00000010|1,1,8,30|1|0|1|908365129|42||1||||0||2||3017818191||||13300256311687443145|38|1|||
40|any|7.225633337|1529916722.983080110|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365529|2518976601||0||||||1|||||3|296251885087394966||0|||
41|any|7.235659072|1529916722.993105845|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1|908365607|110||0||||||1||||||10857181338791980297||1|||
42|any|7.426008862|1529916723.183455635|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908365785|2684354561||1|||1015310287|||1|||||3|6246007917516963881||0|||
43|any|7.590777683|1529916723.348224456|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|7|5201|50007|28560|0x00000012|2,4,8,1,3,30|0|0|1|908365920|2518977485||1||||||1|||||2|13300256311687443144||0|||
44|any|7.610819382|1529916723.368266155|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|117248|0x00000010|1,1,8,30|1|0|1|908365972|52||1||||||1||||||6246007917516963882||1|||
45|any|7.845056987|1529916723.602503760|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|3|1|155|908364744|61||0||||0||2|380406937|1622289827|3|1||296251885087394969|155|3|45||
46|any|7.857171735|1529916723.614618508|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1|908366174|1538||0||||0||2||1622289827||||296251885087394967|155|1|||
47|any|7.866341821|1529916723.623788594|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|58880|0x00000010|1,1,8,30|155|0|4|908366233|1482||0||||0||2||380406938||||10857181338791980451|4|155|||
48|any|7.874082118|1529916723.631528891|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|58880|0x00000010|30|0|0|1||||0||||0||2||380406938|||||4||||
49|any|7.932068883|1529916723.689515656|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1|908366245|629||0||||0||2||1622289827||||296251885087394967|155|1|||
50|any|7.943047833|1529916723.700494606|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|28560|0x00000012|2,4,8,1,3,30|0|0|1|908366215|2518976591||0||||||1|||||2|296251885087394966||0|||
51|any|7.963090585|1529916723.720537358|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|88064|0x00000010|1,1,8,30|1|0|1|908366324|109||0||||||1||||||10857181338791980297||1|||
52|any|8.088770319|1529916723.846217092|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|86016|0x00000010|1,1,8,30|1|0|1|908366427|101||0||||0||2||1622289827||||296251885087394967|155|1|||
53|any|8.099032603|1529916723.856479376|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|57344|0x00000018|1,1,8,30,1,1|4|1|155|908366411|61||0||||0||2|380406938|1622289827|4|1||296251885087394970|155|4|53||
54|any|8.119855769|1529916723.877302542|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|88064|0x00000010|1,1,8,30|155|0|5|908366487|69||0||||0||2||380406939||||10857181338791980451|5|155|||
55|any|8.147441686|1529916723.904888459|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|2856|1|908366516|63||1||||0||2|3017818191|3485921993|1|7140||6246007917516963919|1|38|79||
56|any|8.153183930|1529916723.910630703|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|2857|2856|1|908366518|63||1||||0||2||3485921993||||6246007917516966775|1|2894|79||
57|any|8.165692772|1529916723.923139545|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|5713|1428|1|908366520|63||1||||0||2||3485921993||||6246007917516969631|1|5750|79||
58|any|8.171839239|1529916723.929286012|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|908366534|63||1||||0||2|3017825331|3485921993|7141|7140||6246007917516971059|1|7178|58||
59|any|8.183293471|1529916723.940740244|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|9997|2856|1|908366536|63||1||||0||2||3485921993||||6246007917516973915|1|10034|58||
60|any|8.195330855|1529916723.952777628|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|12853|1428|1|908366538|63||1||||0||2||3485921993||||6246007917516976771|1|12890|58||
61|any|8.201353787|1529916723.958800560|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|38|2856|1|908366551|67||1||||0||2|3017832471|3485921993|38|7140||6246007917516978199|1|14318|61||
62|any|8.214283183|1529916723.971729956|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|2894|2856|1|908366556|67||1||||0||2||3485921993||||6246007917516981055|1|17174|61||
63|any|8.226933942|1529916723.984380715|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|1|2856|1|908366584|40||1||||0||2|3017846751|3485921993|1|7140||6246007917516992479|1|28598|354||
64|any|8.226936982|1529916723.984383755|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|5750|1428|1|908366558|67||1||||0||2||3485921993||||6246007917516983911|1|20030|61||
65|any|8.231575993|1529916723.989022766|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|7178|2856|1|908366570|67||1||||0||2|3017839611|3485921993|7178|7140||6246007917516985339|1|21458|65||
66|any|8.233975529|1529916723.991422302|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|2857|2856|1|908366586|40||1||||0||2||3485921993||||6246007917516995335|1|31454|354||
67|any|8.245601368|1529916724.003048141|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|10034|2856|1|908366572|67||1||||0||2||3485921993||||6246007917516988195|1|24314|65||
68|any|8.245605506|1529916724.003052279|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|5713|1428|1|908366588|40||1||||0||2||3485921993||||6246007917516998191|1|34310|354||
69|any|8.252429563|1529916724.009876336|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|908366601|40||1||||0||2|3017853891|3485921993|7141|7140||6246007917516999619|1|35738|106||
70|any|8.257508833|1529916724.014955606|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|12890|1428|1|908366574|67||1||||0||2||3485921993||||6246007917516991051|1|27170|65||
71|any|8.264309767|1529916724.021756540|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|9997|2856|1|908366606|40||1||||0||2||3485921993||||6246007917517002475|1|38594|106||
72|any|8.266917741|1529916724.024364514|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|120320|0x00000010|1,1,8,1,1,5,30|1|0|1|908366586|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
73|any|8.276381211|1529916724.033827984|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|12853|1428|1|908366608|40||1||||0||2||3485921993||||6246007917517005331|1|41450|106||
74|any|8.278644394|1529916724.036091167|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|122880|0x00000010|1,1,8,1,1,5,30|1|0|1|908366598|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
75|any|8.284245948|1529916724.041692721|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|129024|0x00000010|1,1,8,1,1,5,30|1|0|1|908366603|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
76|any|8.296079695|1529916724.053526468|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|134656|0x00000010|1,1,8,1,1,5,30|1|0|1|908366615|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
77|any|8.298668765|1529916724.056115538|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|148992|0x00000010|1,1,8,1,1,5,30|1|0|1|908366636|42||1||||0||2||3017818191||||13300256311687443145|38|1|||
78|any|8.308473590|1529916724.065920363|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|137216|0x00000010|1,1,8,1,1,5,30|1|0|1|908366627|60||1||||0||2||3017818191||||13300256311687443145|38|1|||
79|any|8.316418527|1529916724.073865300|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|1428|1|908366685|71||1||||0||2|3017818191|3485921993|1|7140||6246007917516963919|1|38|79||
80|any|8.316240947|1529916724.073687720|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|143360|0x00000010|1,1,8,30|1|0|2894|908366633|82||1||||0||2||3017818191||||13300256311687443145|38|1|||
81|any|8.328148458|1529916724.085595231|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|154624|0x00000010|1,1,8,30|1|0|5750|908366645|89||1||||0||2||3017818191||||13300256311687443145|38|1|||
82|any|8.330982428|1529916724.088429201|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|1429|1428|1|908366700|89||1||||0||2||3485921993||||6246007917516965347|1|1466|79||
83|any|8.340566715|1529916724.098013488|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|160256|0x00000010|1,1,8,30|1|0|7178|908366660|102||1||||0||2||3017818191||||13300256311687443145|38|1|||
84|any|8.348045713|1529916724.105492486|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|166400|0x00000010|1,1,8,30|1|0|10034|908366665|95||1||||0||2||3017818191||||13300256311687443145|38|1|||
85|any|8.356257858|1529916724.113704631|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|177664|0x00000010|1,1,8,30|1|0|12890|908366677|105||1||||0||2||3017818191||||13300256311687443145|38|1|||
86|any|8.369293325|1529916724.126740098|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|14318|2856|1|908366738|94||1||||0||2|3017861031|3485921993|14318|5712||6246007917517006759|1|42878|86||
87|any|8.369284930|1529916724.126731703|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|183296|0x00000010|1,1,8,30|1|0|14318|908366689|115||1||||0||2||3017818191||||13300256311687443145|38|1|||
88|any|8.376536303|1529916724.133983076|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|17174|2856|1|908366740|94||1||||0||2||3485921993||||6246007917517009615|1|45734|86||
89|any|8.390514379|1529916724.147961152|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|20030|2856|1|908366759|98||1||||0||2|3017866743|3485921993|20030|5712||6246007917517012471|1|48590|89||
90|any|8.424534323|1529916724.181981096|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017821047||||13300256311687443145|2894|1|||
91|any|8.424535291|1529916724.181982064|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017831043||||13300256311687443145|12890|1|||
92|any|8.424535956|1529916724.181982729|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|908366763|42||1||||0||2||3017846751||||13300256311687443145|28598|1|||
93|any|8.427605920|1529916724.185052693|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|186368|0x00000010|1,1,8,1,1,5,30|1|0|1429|908366748|63||1||||0||2||3017818191||||13300256311687443145|38|1|||
94|any|8.444322599|1529916724.201769372|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|189440|0x00000010|1,1,8,30|1|0|14281|908366763|63||1||||0||2||3017846751||||13300256311687443145|28598|1|||
95|any|8.471583646|1529916724.229030419|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|22886|2856|1|908366761|98||1||||0||2||3485921993||||6246007917517015327|1|51446|89||
96|any|8.481897255|1529916724.239344028|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|195072|0x00000010|1,1,8,30|1|0|17174|908366802|64||1||||0||2||3017846751||||13300256311687443145|28598|1|||
97|any|8.486846672|1529916724.244293445|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|25742|2856|1|908366855|182||1||||0||2|3017872455|3485921993|25742|2856||6246007917517018183|1|54302|97||
98|any|8.490248107|1529916724.247694880|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|200704|0x00000010|1,1,8,30|1|0|20030|908366809|69||1||||0||2||3017846751||||13300256311687443145|28598|1|||
99|any|8.500306541|1529916724.257753314|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|28598|2856|1|908366869|193||1||||0||2|3017875311|3485921993|28598|5712||6246007917517021039|1|57158|99||
100|any|8.502717200|1529916724.260163973|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|206336|0x00000010|1,1,8,30|1|0|22886|908366822|63||1||||0||2||3017846751||||13300256311687443145|28598|1|||
101|any|8.506299312|1529916724.263746085|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|31454|2856|1|908366871|193||1||||0||2||3485921993||||6246007917517023895|1|60014|99||
102|any|8.518076962|1529916724.275523735|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|34310|2856|1|908366885|197||1||||0||2|3017881023|3485921993|34310|5712||6246007917517026751|1|62870|102||
103|any|8.531758336|1529916724.289205109|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|37166|2856|1|908366887|197||1||||0||2||3485921993||||6246007917517029607|1|65726|102||
104|any|8.543613010|1529916724.301059783|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|40022|2856|1|908366900|201||1||||0||2|3017886735|3485921993|40022|2856||6246007917517032463|1|68582|104||
105|any|8.558610766|1529916724.316057539|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|1429|1428|1|908366915|139||1||||0||2||3485921993||||6246007917516993907|1|30026|354||
106|any|8.567880760|1529916724.325327533|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|908366925|139||1||||0||2|3017853891|3485921993|7141|7140||6246007917516999619|1|35738|106||
107|any|8.584897392|1529916724.342344165|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|211968|0x00000010|1,1,8,30|1|0|25742|908366905|144||1||||0||2||3017846751||||13300256311687443145|28598|1|||
108|any|8.602618929|1529916724.360065702|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|217600|0x00000010|1,1,8,30|1|0|28598|908366920|65||1||||0||2||3017846751||||13300256311687443145|28598|1|||
109|any|8.610441697|1529916724.367888470|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|14281|1428|1|908366974|95||1||||0||2|3017889591|3485921993|14281|1428||6246007917517035319|1|71438|109||
110|any|8.613761878|1529916724.371208651|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|223744|0x00000010|1,1,8,30|1|0|31454|908366932|63||1||||0||2||3017846751||||13300256311687443145|28598|1|||
111|any|8.620998452|1529916724.378445225|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|229376|0x00000010|1,1,8,30|1|0|34310|908366940|69||1||||0||2||3017846751||||13300256311687443145|28598|1|||
112|any|8.624566995|1529916724.382013768|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|15709|2856|1|908366992|233||1||||0||2|3017891019|3485921993|15709|2856||6246007917517036747|1|72866|112||
113|any|8.624565600|1529916724.382012373|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|238080|0x00000010|1,1,8,1,1,5,30|1|0|1|908366961|42||1||||0||2||3017846751||||13300256311687443145|28598|1|||
