packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|expected_token|mptcpstream|recvtok
22|any|6.235584666|1529916721.993031439|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1||0|
23|any|6.288878495|1529916722.046325268|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1||0|
24|any|6.339262225|1529916722.096708998|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30,30|1|0|1||1|
25|any|6.366549309|1529916722.123996082|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30|1|0|38||1|
26|any|6.376723380|1529916722.134170153|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||1|1015310287
27|any|6.496020920|1529916722.253467693|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|28560|0x00000012|2,4,8,1,3,30|0|0|1||1|
28|any|6.506073438|1529916722.263520211|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|58880|0x00000010|1,1,8,30|1|0|1||1|
29|any|6.612738406|1529916722.370185179|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||0|2846245513
30|any|6.612740544|1529916722.370187317|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29696|0x00000010|30|0|0|1||0|
31|any|6.612741485|1529916722.370188258|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29696|0x00000010|30|0|0|1||0|
32|any|6.612742283|1529916722.370189056|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||1|1015310287
33|any|6.613851976|1529916722.371298749|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||0|2846245513
34|any|6.613853956|1529916722.371300729|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||1|1015310287
35|any|6.619274576|1529916722.376721349|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|57344|0x00000010|1,1,8,30|1|0|1||1|
36|any|6.705642894|1529916722.463089667|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|4|5201|59555|0|0x00000004||1|0|0|||
37|any|6.705799570|1529916722.463246343|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|28560|0x00000012|2,4,8,1,3,30|0|0|1||1|
38|any|6.726035656|1529916722.483482429|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|88064|0x00000010|1,1,8,30|1|0|1||1|
39|any|6.787641048|1529916722.545087821|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|86016|0x00000010|1,1,8,30|1|0|1||1|
40|any|7.225633337|1529916722.983080110|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1||0|
41|any|7.235659072|1529916722.993105845|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1||0|
42|any|7.426008862|1529916723.183455635|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||1|1015310287
43|any|7.590777683|1529916723.348224456|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|7|5201|50007|28560|0x00000012|2,4,8,1,3,30|0|0|1||1|
44|any|7.610819382|1529916723.368266155|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|117248|0x00000010|1,1,8,30|1|0|1||1|
45|any|7.845056987|1529916723.602503760|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|3|1|155||0|
46|any|7.857171735|1529916723.614618508|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1||0|
47|any|7.866341821|1529916723.623788594|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|58880|0x00000010|1,1,8,30|155|0|4||0|
48|any|7.874082118|1529916723.631528891|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|58880|0x00000010|30|0|0|1||0|
49|any|7.932068883|1529916723.689515656|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1||0|
50|any|7.943047833|1529916723.700494606|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|28560|0x00000012|2,4,8,1,3,30|0|0|1||0|
51|any|7.963090585|1529916723.720537358|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|88064|0x00000010|1,1,8,30|1|0|1||0|
52|any|8.088770319|1529916723.846217092|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|86016|0x00000010|1,1,8,30|1|0|1||0|
53|any|8.099032603|1529916723.856479376|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|57344|0x00000018|1,1,8,30,1,1|4|1|155||0|
54|any|8.119855769|1529916723.877302542|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|88064|0x00000010|1,1,8,30|155|0|5||0|
55|any|8.147441686|1529916723.904888459|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|2856|1||1|
56|any|8.153183930|1529916723.910630703|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|2857|2856|1||1|
57|any|8.165692772|1529916723.923139545|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|5713|1428|1||1|
58|any|8.171839239|1529916723.929286012|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1||1|
59|any|8.183293471|1529916723.940740244|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|9997|2856|1||1|
60|any|8.195330855|1529916723.952777628|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|12853|1428|1||1|
61|any|8.201353787|1529916723.958800560|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|38|2856|1||1|
62|any|8.214283183|1529916723.971729956|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|2894|2856|1||1|
63|any|8.226933942|1529916723.984380715|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|1|2856|1||1|
64|any|8.226936982|1529916723.984383755|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|5750|1428|1||1|
65|any|8.231575993|1529916723.989022766|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|7178|2856|1||1|
66|any|8.233975529|1529916723.991422302|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|2857|2856|1||1|
67|any|8.245601368|1529916724.003048141|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|10034|2856|1||1|
68|any|8.245605506|1529916724.003052279|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|5713|1428|1||1|
69|any|8.252429563|1529916724.009876336|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1||1|
70|any|8.257508833|1529916724.014955606|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|12890|1428|1||1|
71|any|8.264309767|1529916724.021756540|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|9997|2856|1||1|
72|any|8.266917741|1529916724.024364514|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|120320|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
73|any|8.276381211|1529916724.033827984|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|12853|1428|1||1|
74|any|8.278644394|1529916724.036091167|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|122880|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
75|any|8.284245948|1529916724.041692721|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|129024|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
76|any|8.296079695|1529916724.053526468|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|134656|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
77|any|8.298668765|1529916724.056115538|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|148992|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
78|any|8.308473590|1529916724.065920363|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|137216|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
79|any|8.316418527|1529916724.073865300|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|1428|1||1|
80|any|8.316240947|1529916724.073687720|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|143360|0x00000010|1,1,8,30|1|0|2894||1|
81|any|8.328148458|1529916724.085595231|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|154624|0x00000010|1,1,8,30|1|0|5750||1|
82|any|8.330982428|1529916724.088429201|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|1429|1428|1||1|
83|any|8.340566715|1529916724.098013488|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|160256|0x00000010|1,1,8,30|1|0|7178||1|
84|any|8.348045713|1529916724.105492486|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|166400|0x00000010|1,1,8,30|1|0|10034||1|
85|any|8.356257858|1529916724.113704631|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|177664|0x00000010|1,1,8,30|1|0|12890||1|
86|any|8.369293325|1529916724.126740098|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|14318|2856|1||1|
87|any|8.369284930|1529916724.126731703|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|183296|0x00000010|1,1,8,30|1|0|14318||1|
88|any|8.376536303|1529916724.133983076|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|17174|2856|1||1|
89|any|8.390514379|1529916724.147961152|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|20030|2856|1||1|
90|any|8.424534323|1529916724.181981096|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
91|any|8.424535291|1529916724.181982064|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
92|any|8.424535956|1529916724.181982729|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
93|any|8.427605920|1529916724.185052693|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|186368|0x00000010|1,1,8,1,1,5,30|1|0|1429||1|
94|any|8.444322599|1529916724.201769372|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|189440|0x00000010|1,1,8,30|1|0|14281||1|
95|any|8.471583646|1529916724.229030419|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|22886|2856|1||1|
96|any|8.481897255|1529916724.239344028|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|195072|0x00000010|1,1,8,30|1|0|17174||1|
97|any|8.486846672|1529916724.244293445|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|25742|2856|1||1|
98|any|8.490248107|1529916724.247694880|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|200704|0x00000010|1,1,8,30|1|0|20030||1|
99|any|8.500306541|1529916724.257753314|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|28598|2856|1||1|
100|any|8.502717200|1529916724.260163973|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|206336|0x00000010|1,1,8,30|1|0|22886||1|
101|any|8.506299312|1529916724.263746085|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|31454|2856|1||1|
102|any|8.518076962|1529916724.275523735|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|34310|2856|1||1|
103|any|8.531758336|1529916724.289205109|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|37166|2856|1||1|
104|any|8.543613010|1529916724.301059783|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|40022|2856|1||1|
105|any|8.558610766|1529916724.316057539|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|1429|1428|1||1|
106|any|8.567880760|1529916724.325327533|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1||1|
107|any|8.584897392|1529916724.342344165|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|211968|0x00000010|1,1,8,30|1|0|25742||1|
108|any|8.602618929|1529916724.360065702|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|217600|0x00000010|1,1,8,30|1|0|28598||1|
109|any|8.610441697|1529916724.367888470|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|14281|1428|1||1|
110|any|8.613761878|1529916724.371208651|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|223744|0x00000010|1,1,8,30|1|0|31454||1|
111|any|8.620998452|1529916724.378445225|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|229376|0x00000010|1,1,8,30|1|0|34310||1|
112|any|8.624566995|1529916724.382013768|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|15709|2856|1||1|
113|any|8.624565600|1529916724.382012373|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|238080|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
114|any|8.632446840|1529916724.389893613|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|249344|0x00000010|1,1,8,1,1,5,30|1|0|1||1|
115|any|8.635754736|1529916724.393201509|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|18565|1428|1||1|
116|any|8.643885949|1529916724.401332722|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|243712|0x00000010|1,1,8,30|1|0|40022||1|
117|any|8.650833264|1529916724.408280037|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|19993|2856|1||1|
118|any|8.656562515|1529916724.414009288|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|22849|2856|1||1|
119|any|8.656561400|1529916724.414008173|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|254976|0x00000010|1,1,8,30|1|0|42878||1|
120|any|8.668580005|1529916724.426026778|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|25705|1428|1||1|
121|any|8.676050042|1529916724.433496815|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000018|1,1,8,30,1,1|27133|1428|1||1|
122|any|8.681039684|1529916724.438486457|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|28561|1428|1||1|
123|any|8.706584670|1529916724.464031443|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|42878|2856|1||1|
124|any|8.714837057|1529916724.472283830|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|45734|2856|1||1|
125|any|8.723508193|1529916724.480954966|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|258048|0x00000010|1,1,8,30|1|0|15709||1|
126|any|8.744017205|1529916724.501463978|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|48590|2856|1||1|
127|any|8.744020615|1529916724.501467388|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|263680|0x00000010|1,1,8,30|1|0|18565||1|
128|any|8.749736208|1529916724.507182981|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|51446|2856|1||1|
129|any|8.754738067|1529916724.512184840|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|266752|0x00000010|1,1,8,30|1|0|19993||1|
130|any|8.762693434|1529916724.520140207|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|54302|2856|1||1|
131|any|8.762696541|1529916724.520143314|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|272384|0x00000010|1,1,8,30|1|0|22849||1|
132|any|8.770378955|1529916724.527825728|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|278016|0x00000010|1,1,8,30|1|0|25705||1|
133|any|8.774853253|1529916724.532300026|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|57158|2856|1||1|
134|any|8.783348053|1529916724.540794826|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|281088|0x00000010|1,1,8,30|1|0|27133||1|
135|any|8.790726329|1529916724.548173102|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|60014|2856|1||1|
136|any|8.790729450|1529916724.548176223|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|283648|0x00000010|1,1,8,30|1|0|28561||1|
137|any|8.794186127|1529916724.551632900|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|286720|0x00000010|1,1,8,30|1|0|29989||1|
138|any|8.799107917|1529916724.556554690|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|62870|2856|1||1|
139|any|8.811794267|1529916724.569241040|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|65726|2856|1||1|
140|any|8.819287453|1529916724.576734226|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|292352|0x00000010|1,1,8,30|1|0|45734||1|
141|any|8.822120214|1529916724.579566987|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|68582|2856|1||1|
142|any|8.827218618|1529916724.584665391|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|297984|0x00000010|1,1,8,30|1|0|48590||1|
143|any|8.841778100|1529916724.599224873|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|71438|2856|1||1|
144|any|8.847496681|1529916724.604943454|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|74294|2856|1||1|
145|any|8.857294677|1529916724.614741450|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|304128|0x00000010|1,1,8,30|1|0|51446||1|
146|any|8.862640382|1529916724.620087155|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|309760|0x00000010|1,1,8,30|1|0|54302||1|
147|any|8.867595758|1529916724.625042531|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|77150|2856|1||1|
148|any|8.874863655|1529916724.632310428|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|80006|2856|1||1|
149|any|8.877795791|1529916724.635242564|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|315392|0x00000010|1,1,8,30|1|0|57158||1|
150|any|8.887879789|1529916724.645326562|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|321024|0x00000010|1,1,8,30|1|0|60014||1|
151|any|8.897820760|1529916724.655267533|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|1|1428|1||1|
152|any|8.903159120|1529916724.660605893|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|326656|0x00000010|1,1,8,30|1|0|62870||1|
153|any|8.912916917|1529916724.670363690|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|332288|0x00000010|1,1,8,30|1|0|65726||1|
154|any|8.916452282|1529916724.673899055|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000018|1,1,8,30,1,1|82862|1428|1||1|
155|any|8.926535155|1529916724.683981928|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|337920|0x00000010|1,1,8,30|1|0|68582||1|
156|any|8.929299424|1529916724.686746197|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|84290|2856|1||1|
