packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|tsval|tsecr|expected_token|mptcpstream|sendkey|recvkey|recvtok|datafin|mptcpversion|dack|dsn
35|any|6.619274576|1529916722.37672|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|57344|0x00000010|1,1,8,30|1|0|1|60|60||1||||0||38|1
36|any|6.705642894|1529916722.46309|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|4|5201|59555|0|0x00000004||1|0|0|||||||||||
37|any|6.70579957|1529916722.46325|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518977485|2518977485||1|||||||0
38|any|6.726035656|1529916722.48348|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|88064|0x00000010|1,1,8,30|1|0|1|43|43||1|||||||1
39|any|6.787641048|1529916722.54509|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|86016|0x00000010|1,1,8,30|1|0|1|42|42||1||||0||38|1
40|any|7.225633337|1529916722.98308|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518976601|2518976601||0|||||||0
41|any|7.235659072|1529916722.99311|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1|110|110||0|||||||1
42|any|7.426008862|1529916723.18346|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||1|||1015310287||||0
43|any|7.590777683|1529916723.34822|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|7|5201|50007|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518977485|2518977485||1|||||||0
44|any|7.610819382|1529916723.36827|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|117248|0x00000010|1,1,8,30|1|0|1|52|52||1|||||||1
45|any|7.845056987|1529916723.6025|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|3|1|155|61|61||0||||0||155|3
46|any|7.857171735|1529916723.61462|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1|1538|1538||0||||0||155|1
47|any|7.866341821|1529916723.62379|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|58880|0x00000010|1,1,8,30|155|0|4|1482|1482||0||||0||4|155
48|any|7.874082118|1529916723.63153|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|58880|0x00000010|30|0|0|1||||0||||0||4|
49|any|7.932068883|1529916723.68952|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|57344|0x00000010|1,1,8,30|1|0|1|629|629||0||||0||155|1
50|any|7.943047833|1529916723.70049|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518976591|2518976591||0|||||||0
51|any|7.963090585|1529916723.72054|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|88064|0x00000010|1,1,8,30|1|0|1|109|109||0|||||||1
52|any|8.088770319|1529916723.84622|10.0.0.2|11.0.0.1|10.0.0.2|11.0.0.1|6|5201|35589|86016|0x00000010|1,1,8,30|1|0|1|101|101||0||||0||155|1
53|any|8.099032603|1529916723.85648|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|57344|0x00000018|1,1,8,30,1,1|4|1|155|61|61||0||||0||155|4
54|any|8.119855769|1529916723.8773|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|88064|0x00000010|1,1,8,30|155|0|5|69|69||0||||0||5|155
55|any|8.147441686|1529916723.90489|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|2856|1|63|63||1||||0||1|38
56|any|8.15318393|1529916723.91063|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|2857|2856|1|63|63||1||||0||1|2894
57|any|8.165692772|1529916723.92314|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|5713|1428|1|63|63||1||||0||1|5750
58|any|8.171839239|1529916723.92929|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|63|63||1||||0||1|7178
59|any|8.183293471|1529916723.94074|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|9997|2856|1|63|63||1||||0||1|10034
60|any|8.195330855|1529916723.95278|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|12853|1428|1|63|63||1||||0||1|12890
61|any|8.201353787|1529916723.9588|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|38|2856|1|67|67||1||||0||1|14318
62|any|8.214283183|1529916723.97173|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|2894|2856|1|67|67||1||||0||1|17174
63|any|8.226933942|1529916723.98438|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|1|2856|1|40|40||1||||0||1|28598
64|any|8.226936982|1529916723.98438|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|5750|1428|1|67|67||1||||0||1|20030
65|any|8.231575993|1529916723.98902|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|7178|2856|1|67|67||1||||0||1|21458
66|any|8.233975529|1529916723.99142|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|2857|2856|1|40|40||1||||0||1|31454
67|any|8.245601368|1529916724.00305|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|10034|2856|1|67|67||1||||0||1|24314
68|any|8.245605506|1529916724.00305|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|5713|1428|1|40|40||1||||0||1|34310
69|any|8.252429563|1529916724.00988|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|40|40||1||||0||1|35738
70|any|8.257508833|1529916724.01496|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|12890|1428|1|67|67||1||||0||1|27170
71|any|8.264309767|1529916724.02176|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|9997|2856|1|40|40||1||||0||1|38594
72|any|8.266917741|1529916724.02436|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|120320|0x00000010|1,1,8,1,1,5,30|1|0|1|60|60||1||||0||38|1
73|any|8.276381211|1529916724.03383|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|12853|1428|1|40|40||1||||0||1|41450
74|any|8.278644394|1529916724.03609|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|122880|0x00000010|1,1,8,1,1,5,30|1|0|1|60|60||1||||0||38|1
75|any|8.284245948|1529916724.04169|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|129024|0x00000010|1,1,8,1,1,5,30|1|0|1|60|60||1||||0||38|1
76|any|8.296079695|1529916724.05353|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|134656|0x00000010|1,1,8,1,1,5,30|1|0|1|60|60||1||||0||38|1
77|any|8.298668765|1529916724.05612|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|148992|0x00000010|1,1,8,1,1,5,30|1|0|1|42|42||1||||0||38|1
78|any|8.30847359|1529916724.06592|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|137216|0x00000010|1,1,8,1,1,5,30|1|0|1|60|60||1||||0||38|1
79|any|8.316418527|1529916724.07387|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|1|1428|1|71|71||1||||0||1|38
80|any|8.316240947|1529916724.07369|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|143360|0x00000010|1,1,8,30|1|0|2894|82|82||1||||0||38|1
81|any|8.328148458|1529916724.0856|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|154624|0x00000010|1,1,8,30|1|0|5750|89|89||1||||0||38|1
82|any|8.330982428|1529916724.08843|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|1429|1428|1|89|89||1||||0||1|1466
83|any|8.340566715|1529916724.09801|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|160256|0x00000010|1,1,8,30|1|0|7178|102|102||1||||0||38|1
84|any|8.348045713|1529916724.10549|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|166400|0x00000010|1,1,8,30|1|0|10034|95|95||1||||0||38|1
85|any|8.356257858|1529916724.1137|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|177664|0x00000010|1,1,8,30|1|0|12890|105|105||1||||0||38|1
86|any|8.369293325|1529916724.12674|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|14318|2856|1|94|94||1||||0||1|42878
87|any|8.36928493|1529916724.12673|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|183296|0x00000010|1,1,8,30|1|0|14318|115|115||1||||0||38|1
88|any|8.376536303|1529916724.13398|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|17174|2856|1|94|94||1||||0||1|45734
89|any|8.390514379|1529916724.14796|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|20030|2856|1|98|98||1||||0||1|48590
90|any|8.424534323|1529916724.18198|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|42|42||1||||0||2894|1
91|any|8.424535291|1529916724.18198|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|42|42||1||||0||12890|1
92|any|8.424535956|1529916724.18198|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|189440|0x00000010|1,1,8,1,1,5,30|1|0|1|42|42||1||||0||28598|1
93|any|8.42760592|1529916724.18505|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|186368|0x00000010|1,1,8,1,1,5,30|1|0|1429|63|63||1||||0||38|1
94|any|8.444322599|1529916724.20177|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|189440|0x00000010|1,1,8,30|1|0|14281|63|63||1||||0||28598|1
95|any|8.471583646|1529916724.22903|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|22886|2856|1|98|98||1||||0||1|51446
96|any|8.481897255|1529916724.23934|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|195072|0x00000010|1,1,8,30|1|0|17174|64|64||1||||0||28598|1
97|any|8.486846672|1529916724.24429|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|25742|2856|1|182|182||1||||0||1|54302
98|any|8.490248107|1529916724.2477|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|200704|0x00000010|1,1,8,30|1|0|20030|69|69||1||||0||28598|1
99|any|8.500306541|1529916724.25775|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|28598|2856|1|193|193||1||||0||1|57158
100|any|8.5027172|1529916724.26016|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|206336|0x00000010|1,1,8,30|1|0|22886|63|63||1||||0||28598|1
101|any|8.506299312|1529916724.26375|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|31454|2856|1|193|193||1||||0||1|60014
102|any|8.518076962|1529916724.27552|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|34310|2856|1|197|197||1||||0||1|62870
103|any|8.531758336|1529916724.28921|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|37166|2856|1|197|197||1||||0||1|65726
104|any|8.54361301|1529916724.30106|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|40022|2856|1|201|201||1||||0||1|68582
105|any|8.558610766|1529916724.31606|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30|1429|1428|1|139|139||1||||0||1|30026
106|any|8.56788076|1529916724.32533|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|117248|0x00000010|1,1,8,30,1,1|7141|2856|1|139|139||1||||0||1|35738
107|any|8.584897392|1529916724.34234|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|211968|0x00000010|1,1,8,30|1|0|25742|144|144||1||||0||28598|1
108|any|8.602618929|1529916724.36007|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|217600|0x00000010|1,1,8,30|1|0|28598|65|65||1||||0||28598|1
109|any|8.610441697|1529916724.36789|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|14281|1428|1|95|95||1||||0||1|71438
110|any|8.613761878|1529916724.37121|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|223744|0x00000010|1,1,8,30|1|0|31454|63|63||1||||0||28598|1
111|any|8.620998452|1529916724.37845|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|229376|0x00000010|1,1,8,30|1|0|34310|69|69||1||||0||28598|1
112|any|8.624566995|1529916724.38201|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|15709|2856|1|233|233||1||||0||1|72866
113|any|8.6245656|1529916724.38201|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|238080|0x00000010|1,1,8,1,1,5,30|1|0|1|42|42||1||||0||28598|1
114|any|8.63244684|1529916724.38989|11.0.0.2|11.0.0.1|11.0.0.2|11.0.0.1|5|5201|50077|249344|0x00000010|1,1,8,1,1,5,30|1|0|1|42|42||1||||0||28598|1
115|any|8.635754736|1529916724.3932|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|18565|1428|1|233|233||1||||0||1|75722
116|any|8.643885949|1529916724.40133|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|243712|0x00000010|1,1,8,30|1|0|40022|77|77||1||||0||28598|1
117|any|8.650833264|1529916724.40828|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|19993|2856|1|243|243||1||||0||1|77150
118|any|8.656562515|1529916724.41401|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|22849|2856|1|243|243||1||||0||1|80006
119|any|8.6565614|1529916724.41401|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|254976|0x00000010|1,1,8,30|1|0|42878|76|76||1||||0||28598|1
120|any|8.668580005|1529916724.42603|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30|25705|1428|1|243|243||1||||0||1|82862
121|any|8.676050042|1529916724.4335|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000018|1,1,8,30,1,1|27133|1428|1|243|243||1||||0||1|84290
122|any|8.681039684|1529916724.43849|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|117248|0x00000010|1,1,8,30,1,1|28561|1428|1|243|243||1||||0||1|85718
123|any|8.70658467|1529916724.46403|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|42878|2856|1|250|250||1||||0||1|87146
124|any|8.714837057|1529916724.47228|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|45734|2856|1|250|250||1||||0||1|90002
125|any|8.723508193|1529916724.48095|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|258048|0x00000010|1,1,8,30|1|0|15709|69|69||1||||0||28598|1
126|any|8.744017205|1529916724.50146|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|48590|2856|1|268|268||1||||0||1|92858
127|any|8.744020615|1529916724.50147|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|263680|0x00000010|1,1,8,30|1|0|18565|65|65||1||||0||28598|1
128|any|8.749736208|1529916724.50718|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|51446|2856|1|268|268||1||||0||1|95714
129|any|8.754738067|1529916724.51219|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|266752|0x00000010|1,1,8,30|1|0|19993|65|65||1||||0||28598|1
130|any|8.762693434|1529916724.52014|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|54302|2856|1|298|298||1||||0||1|98570
131|any|8.762696541|1529916724.52014|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|272384|0x00000010|1,1,8,30|1|0|22849|65|65||1||||0||28598|1
132|any|8.770378955|1529916724.52783|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|278016|0x00000010|1,1,8,30|1|0|25705|70|70||1||||0||28598|1
133|any|8.774853253|1529916724.5323|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|57158|2856|1|298|298||1||||0||1|101426
134|any|8.783348053|1529916724.54079|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|281088|0x00000010|1,1,8,30|1|0|27133|79|79||1||||0||28598|1
135|any|8.790726329|1529916724.54817|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|60014|2856|1|231|231||1||||0||1|104282
136|any|8.79072945|1529916724.54818|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|283648|0x00000010|1,1,8,30|1|0|28561|74|74||1||||0||28598|1
137|any|8.794186127|1529916724.55163|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|286720|0x00000010|1,1,8,30|1|0|29989|65|65||1||||0||28598|1
138|any|8.799107917|1529916724.55655|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30|62870|2856|1|231|231||1||||0||1|107138
139|any|8.811794267|1529916724.56924|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|117248|0x00000010|1,1,8,30,1,1|65726|2856|1|242|242||1||||0||1|109994
